store,category,revenue,sales,growth,efficiency
TechNova HQ,Quantum Computing,287340,1247,18.5,92
QuantumX Labs,Neural Interfaces,195720,892,12.3,86
NeuralSync Corp,Space Tech,342850,1156,22.7,89
SpaceCore Systems,Biotech,156980,743,8.9,78
BioLab Innovations,Robotics,298470,1389,15.6,84
RoboTech Dynamics,AI Systems,421630,1567,28.3,95
AIGen Solutions,Quantum Computing,245890,1078,19.2,87
FutureStore Alpha,Neural Interfaces,178450,821,6.4,82
DataMind Beta,Space Tech,356920,1298,24.1,91
CyberFlow Gamma,Biotech,189670,934,11.7,79
NanoTech Delta,Robotics,267340,1145,16.8,85
SmartGrid Epsilon,AI Systems,398540,1423,26.9,93
QuantumLeap Zeta,Quantum Computing,312780,1201,20.5,88
BrainWave Eta,Neural Interfaces,224590,987,13.8,83
SpaceTech Theta,Space Tech,275630,1089,17.3,86
GeneLab Iota,Biotech,198320,856,9.6,80
MetalMind Kappa,Robotics,334870,1267,21.4,90
IntelliCore Lambda,AI Systems,456780,1634,31.2,96
VoidTech Mu,Quantum Computing,189940,867,7.8,81
SynapseNet Nu,Neural Interfaces,298760,1156,18.9,87
